protein_annotation	regex_label	manual_label	note
HAD	proper	proper	
MoxR-like ATPase	proper	proper	
Replication factor C, subunit RFC5	proper	proper	
Putative phage-related regulator	proper	proper	
Bifunctional deaminase-reductase-like protein	proper	proper	
Phosphate butyryltransferase	proper	proper	
HECT domain-containing protein	proper	proper	
Probable intron-encoded endonuclease bI3	proper	proper	
MBOAT family protein	proper	proper	
DNA primase (EC 2.7.7.101)	proper	proper	
Complement C1q tumor necrosis factor-related protein 5	proper	proper	
Chromosome undetermined scaffold_1, whole genome shotgun sequence (DNA ligase, putative)	uninformative	proper	
Putative mitochondrial chaperone bcs1	proper	proper	
Thymidine kinase 2	proper	proper	
Uncharacterized protein B3gp19	uninformative	uninformative	
Putative primosome component	proper	proper	
RNA polymerase sigma-70 factor (Sigma-E family)	proper	proper	
Bis(5'-nucleosyl)-tetraphosphatase PrpE (Asymmetrical) (EC 3.6.1.17)	proper	proper	
Bacteriophage tail assembly protein-like protein	proper	proper	
Peptide-aspartate beta-dioxygenase	proper	proper	
Probable salicylate monooxygenase (EC 1.14.13.1)	proper	proper	
ABC transporter, phosphonate, periplasmic substrate-binding protein	proper	proper	
Immunity protein 49 of polymorphic toxin system	proper	proper	
Phage DNA polymerase	proper	proper	
D-glucuronyl C5-epimerase (EC 5.1.3.17) (Heparan sulfate C5-epimerase) (Hsepi) (Heparin/heparan sulfate:glucuronic acid C5-epimerase) (Heparosan-N-sulfate-glucuronate 5-epimerase)	proper	proper	
PLOD3 isoform 14	proper	proper	
SspB protein	proper	proper	
DNA repair protein recA homolog 3, mitochondrial-like	proper	proper	
Acetyl transferase (EC 2.3.1.-)	proper	proper	
DUF4123 domain-containing protein	low informative	low	
Tellurium resistance protein TerE	proper	proper	
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes	proper	proper	
GNAT family acetyltransferase Bsu1853	proper	proper	
D(-)-3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	proper	proper	
Peroxisomal biogenesis factor 1	proper	proper	
Conjugative transposon protein TraN	proper	proper	
DNA ligase, phage-associated gp30 DNA ligase	proper	proper	
RING finger 151-like isoform X1	proper	proper	
Putative mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	proper	proper	
Initial dioxygenase reductase subunit	proper	proper	
Mannose-6-phosphate isomerase, class I	proper	proper	
3-oxoacyl-[acyl-carrier-protein] reductase putative short-chain dehydrogenases/reductases (SDR) family protein (EC 1.1.1.100)	proper	proper	
Prophage, baseplate assembly protein W	proper	proper	
AAA-ATPase At5g17760-like	proper	proper	
Mitochondrial 60 kDa heat shock protein	proper	proper	
Ivns1abpb protein	proper	proper	
Class I SAM-dependent methyltransferase (Methyltransferase domain-containing protein)	proper	proper	
Probable adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	proper	proper	
NAD-dependent epimerase/dehydratase family protein (GalE, GALE) (EC 5.1.3.2)	proper	proper	
mannan endo-1,6-alpha-mannosidase (EC 3.2.1.101)	proper	proper	
Putative metal-dependent peptidase	proper	proper	
Pyocin, transcriptional repressor, CI/C2 family	proper	proper	
FAD-containing oxidoreductase	proper	proper	
Caudovirus prohead protease	proper	proper	
MenH	proper	proper	
Hedgehog protein	proper	proper	
Putative enzyme involved in deoxyribonucleotide synthesi	proper	proper	
Cell division protein FtsZ-like 1, chloroplastic	proper	proper	
Mycolic acid cyclopropane synthetase family protein	proper	proper	
GMP synthase	proper	proper	
Similar to Stomatin-like protein 2 acc. no. Q99JB2	proper	proper	
Pribosyltran_N domain-containing protein	proper	proper	
Aldehyde reductase Ahr (EC 1.1.1.2) (Zinc-dependent alcohol dehydrogenase Ahr)	proper	proper	
tRNA (guanine(37)-N1)-methyltransferase Trm5b (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	proper	proper	
Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family	proper	proper	
Phage uncharacterized protein	uninformative	uninformative	
Putative asparagine synthase	proper	proper	
HNH nuclease domain-containing protein	proper	proper	
Heat-shock protein	proper	proper	
CLUMA_CG000858, isoform A	proper	proper	
AMSH-like protease sst2 (EC 3.4.19.-) (Suppressor of ste12 deletion protein 2)	proper	proper	
Chitinase class I family protein	proper	proper	
Putative circadian clock protein, KaiC (EC 2.7.11.1)	proper	proper	
Diamine acetyltransferase 1 (EC 2.3.1.57) (Polyamine N-acetyltransferase 1) (Putrescine acetyltransferase) (Spermidine/spermine N(1)-acetyltransferase 1) (SSAT) (SSAT-1)	proper	proper	
DgyrCDS12682	proper	proper	
Phagehead morphogenesis protein	proper	proper	
von Willebrand factor type A (VWA) domain	proper	proper	
AAA-ATPase At3g28510 (EC 3.6.1.-)	proper	proper	
dUTPase family protein	proper	proper	
Putative dual specificity phosphatase catalytic domain	proper	proper	
SLAMF1	proper	proper	
Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	proper	proper	
Aerobic ribonucleotide reductase (EC 1.17.4.1)	proper	proper	
DUF1857 domain-containing protein	low informative	low	
HK97 gp10 family phage protein	proper	proper	
Calcium-activated chloride channel regulator 4, 30 kDa form	proper	proper	
HSP60 protein	proper	proper	
L-malate glycosyltransferase	proper	proper	
Kelch-like protein 3	proper	proper	
Putative HAD superfamily Cof-like phosphohydrolase	proper	proper	
Uncharacterized NAD(FAD)-dependent dehydrogenase	proper	proper	
Two component transcriptional regulator LytTR family	proper	proper	
Muramidase (Phage lambda lysozyme)	proper	proper	
DNA oxidative demethylase AlkB	proper	proper	
Site-specific tyrosine recombinase XerD	proper	proper	
Phage repressor protein, Serine peptidase, MEROPS family S24	proper	proper	
TIGR02243 domain protein	proper	low	
Heat shock protein 60A	proper	proper	
Putative Phage tail protein	proper	proper	
Peptide chain release factor 1-like, mitochondrial isoform X3	proper	proper	
RecD-like DNA helicase	proper	proper	
Putative phage tail fibre protein	proper	proper	
Putative terminase B protein	proper	proper	
Sterigmatocystin 8-o-methyltransferase	proper	proper	
DNA topoisomerase I	proper	proper	
Putative bacteriophage protein	uninformative	uninformative	
Kelch domain-containing protein 8B	proper	proper	
Cadherin-related 23	proper	proper	
5'-3' exonuclease	proper	proper	
Protein activator of alkane oxidation PraB	proper	proper	
Phage tail protein (Putative tail component protein)	proper	proper	
G-D-S-L family lipolytic enzyme	proper	proper	
Uncharacterized conserved protein YqeY	proper	uninformative	
Phage DNA packaging protein, Nu1 subunit of terminase	proper	proper	
Secretion protein	proper	proper	
Arrestin domain-containing protein A	proper	proper	
N-acetyltransferase GCN5 (EC 2.3.1.-)	proper	proper	
Acetyl esterase/lipase	proper	proper	
DNA segregation ATPase FtsK/SpoIIIE S-DNA-T family	proper	proper	
IS1181 transposase	proper	proper	
Cell division protein FtsK/SpoIIIE	proper	proper	
Exodeoxyribonuclease-5 (EC 3.1.11.5)	proper	proper	
Probable protein p60	proper	uninformative	
RelE family toxin-antitoxin system	proper	proper	
Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	proper	proper	
Rrf2 family transcriptional regulator	proper	proper	
p077	uninformative	uninformative	
Ig domain protein, group 2 protein	proper	proper	
NADH oxidase/thioredoxin reductase (EC 1.6.99.3)	proper	proper	
PREDICTED: probable ATP-dependent DNA helicase	proper	proper	
Chromosome undetermined scaffold_100, whole genome shotgun sequence	uninformative	uninformative	
Genetic Element protein A	proper	uninformative	could point to many different things
Aspyridones efflux protein apdF	proper	proper	
DNA phosphorothioation system restriction enzyme	proper	proper	
Uracil DNA glycosylase superfamily protein	proper	proper	
Pirin C-terminal domain-containing protein	proper	proper	
Thymidylate kinase, putative	proper	proper	
Ras guanine nucleotide exchange factor F (RasGEF domain-containing protein F)	proper	proper	
Thymidine kinase 2, mitochondrial isoform X1	proper	proper	
HD containing hydrolase-like enzyme family protein	proper	proper	
RimK domain-containing protein ATP-grasp	proper	proper	
Nucleoid-associated protein E6G90_05820	proper	proper	
ATP-dependent zinc metalloprotease FtsH 4 (EC 3.4.24.-)	proper	proper	
Probable serine/threonine protein phosphatase	proper	proper	
37-kD nucleoid-associated bacterial protein	proper	low	
Recombinase D	proper	proper	
Type II and III secretion system protein	proper	proper	
Uncharacterized protein LOC112451699 isoform X1	proper	uninformative	
Pentatricopeptide repeat-containing protein, chloroplastic	proper	low	
Atrnl1 protein	proper	proper	
Putative dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192)	proper	proper	
Penicillin amidase	proper	proper	
Bacteriophage capsid protein (Modular protein)	proper	proper	
Enoyl-acyl carrier reductase	proper	proper	
Arabinose 5-phosphate isomerase GutQ (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)	proper	proper	
Putative Prophage LambdaSo, holin	proper	proper	
RecD/TraA family helicase	proper	proper	
Rib4 protein	proper	proper	
Cell division cycle 48C	proper	proper	
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1	proper	proper	
Kelch 35	proper	proper	
Cinnamyl alcohol dehydrogenase 5 (AtCAD5) (EC 1.1.1.195) (Cinnamyl alcohol dehydrogenase D)	proper	proper	
Alcohol dehydrogenase N-terminal domain-containing protein	proper	proper	
Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2)	proper	proper	
DUF4035 domain-containing protein	low informative	low	
PHIKZ131	proper	proper	
Transcriptional regulator, LytR/AlgR family	proper	proper	
YLP motif-containing protein 1 (Nuclear protein ZAP3)	proper	proper	
Exonuclease rnase t and dna polymerase iii	proper	proper	
Gamma-glutamyl cyclotransferase venom protein isoform 1	proper	proper	
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C)	proper	proper	
Peptidase S14, ClpP	proper	proper	
Hypothetical phage protein (Mu-like prophage I protein)	proper	proper	
Phage antirepressor YoqD-like protein	proper	proper	
Carrier domain-containing protein	proper	proper	
ATPase, AAA-type, CDC48	proper	proper	
DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (Cysteine methyltransferase DNMT3A) (EC 2.1.1.-) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	proper	proper	
Peptide chain release factor 1, mitochondrial (MRF-1) (MtRF-1)	proper	proper	
Macro domain protein	proper	proper	
Putative mitochondrial genome maintenance exonuclease 1	proper	proper	
GD12325	proper	proper	
DNA-binding protein involved in plasmid partitioning (ParB-like partition protein)	proper	proper	
DNA_pol3_beta_2 domain-containing protein	proper	proper	
Pyochelin synthase PchE (EC 6.2.1.69) (L-cysteine--[L-cysteinyl-carrier protein] ligase) (Nonribosomal peptide synthase PchE)	proper	proper	
Thymidine kinase 2, mitochondrial isoform X3	proper	proper	
Phage-related protein (TIGR01555 family)	proper	low	
Putative LAGLIDADG protein	proper	proper	
YLP motif-containing protein 1 (Nuclear protein ZAP3) (ZAP113)	proper	proper	
Pentapeptide repeat-containing protein (Secreted effector protein PipB2)	proper	proper	
Phage_Mu_F domain-containing protein	proper	proper	
FAD-dependent oxidoreductase	proper	proper	
Circadian clock protein KaiB	proper	proper	
HTH-type transcriptional regulator PrtR (Pyocin repressor protein)	proper	proper	
Glycoside hydrolase family 5 domain-containing protein	proper	proper	
Putative subunit of Mre11	proper	proper	
O-antigen polymerase	proper	proper	
NADPH quinone reductase	proper	proper	
Phosphoryl Seryl-TRNA (Ser/Sec) Kinase	proper	proper	
Dual specificity phosphatase	proper	proper	
DNA repair and recombination protein RAD54-like	proper	proper	
ORF164 (rRNA large subunit intron 3 orf)	proper	proper	
DUF3575 domain-containing protein	low informative	low	
ATP-dependent DNA helicase PcrA (EC 5.6.2.4) (DNA 3'-5' helicase PcrA)	proper	proper	
Mot1 helicase-like protein	proper	proper	
Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.172) (16S rRNA m2G1207 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RsmC)	proper	proper	
Murein DD-endopeptidase MepM/ murein hydrolase activator NlpD	proper	proper	
Beta-agarase	proper	proper	
Prolyl 4-hydroxylase (EC 1.14.11.2)	proper	proper	
CMP/dCMP-type deaminase domain-containing protein	proper	proper	
Major tail subunit	proper	proper	
Kelch-like ECH-associated protein 1B isoform X1	proper	proper	
DUF2828 domain protein	low informative	low	
Phytase-like domain-containing protein	proper	proper	
ASCH domain	proper	proper	
TspB protein	proper	proper	
DNA polymerase 1 (EC 2.7.7.7) (Pab polymerase)	proper	proper	
Putative cell polarity protein	proper	proper	
Calcium/calmodulin-dependent protein kinase II-like	proper	proper	
DIP1984 family protein	proper	proper	
Attaching and effacing protein	proper	proper	
Nucleoside-diphosphate-sugar epimerase	proper	proper	
dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+)) (EC 1.1.1.344)	proper	proper	
Activin-binding protein	proper	proper	
Dna polymerase a family protein	proper	proper	
Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)	proper	proper	
Bacterial recombinase A	proper	proper	
Nucleoid-associated protein YgaU, contains BON and LysM domains	proper	proper	
IbrA	proper	proper	
Inhibitor of the KinA pathway to sporulation, predicted exonuclease	proper	proper	
RecA family profile 2 domain-containing protein	proper	proper	
Putative Mu-like prophage FluMu I protein	proper	proper	
SSAT-1 spermidine/spermine N1-acetyltransferase 1	proper	proper	
26S protease regulatory subunit, putative (EC 3.6.4.3)	proper	proper	
Cell division inhibitor	proper	proper	
Probable serine/threonine specific protein phosphatase protein (EC 3.1.3.16)	proper	proper	
Mu phage minor capsid protein GpF	proper	proper	
Gp60 protein	uninformative	uninformative	
CHD3-type chromatin-remodeling factor CHR7 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 7) (Protein PICKLE RELATED 2)	proper	proper	
Bgs4 protein	proper	proper	
Enoyl-CoA hydratase/isomerase family protein	proper	proper	
Erlin-2-B	proper	proper	
Possible prophage ps3 protein01-like protein	proper	uninformative	
Tip attachment protein j	proper	proper	
BRO family protein	proper	proper	
RNA polymerase alpha subunit C-terminal domain-containing protein	proper	proper	
Deoxycytidylate deaminase isoform X6	proper	proper	
Peroxisomal ATPase PEX6 (Peroxin-6)	proper	proper	
Phage replication P family protein	proper	proper	
Deoxynucleoside kinase, putative	proper	proper	
WGS project CABT00000000 data, contig 2.362	proper	uninformative	
Mu-transpos_C domain-containing protein	proper	proper	
CbbQ/NirQ/NorQ domain protein	proper	proper	
Glutaredoxin family protein	proper	proper	
Kelch-like protein 26 isoform A	proper	proper	
Stress response protein, TerZ-and CABP1	proper	proper	
Exonuclease V (RecBCD complex), alpha chain	proper	proper	
3-oxoacyl-ACP reductase (EC 1.1.1.100)	proper	proper	
ATPase histone chaperone abo1 (EC 3.6.1.-) (ATPase family AAA domain-containing protein abo1) (AAA-ATPase)	proper	proper	
Integrin alpha-L-like	proper	proper	
von Willebrand factor A domain containing 5B1	proper	proper	
ATP-dependent exoDNAse	proper	proper	
Putative Exonuclease	proper	proper	
EPS depolymerase	proper	proper	
Putative integrase	proper	proper	
Putative portal protein-like protein	proper	proper	
